,first_name,genders,use,descriptions
0,Acantha,f,Greek Mythology (Latinized),"Acantha f Greek Mythology (Latinized)Latinized form of Greek Ἄκανθα (Akantha), which meant ""thorn, prickle"". In Greek legend she was a nymph loved by Apollo."
1,Acheloios,m,Greek Mythology,Acheloios m Greek MythologyAncient Greek form of Achelous.
2,Achelous,m,Greek Mythology (Latinized),"Achelous m Greek Mythology (Latinized)From Greek Ἀχελώιος (Acheloios), which is of unknown meaning, possibly of Semitic origin. This was the name of a Greek god of water and rivers, in particular the Achelous River in western Greece. He fought with (and was defeated by) Herakles for the hand of Deianeira."
3,Achilles,m,Greek Mythology (Latinized),"Achilles m Greek Mythology (Latinized), Ancient Greek (Latinized)From the Greek Ἀχιλλεύς (Achilleus), which is of unknown meaning, perhaps derived from Greek ἄχος (achos) meaning ""pain"" or else from the name of the Achelous River. This was the name of a warrior in Greek legend, one of the central characters in Homer's Iliad. The bravest of the Greek heroes in the war against the Trojans, he was eventually killed by an arrow to his heel, the only vulnerable part of his body.... [more]"
4,Achilleus,m,Greek Mythology,"Achilleus m Greek Mythology, Ancient GreekAncient Greek form of Achilles."
5,Adad,m,Semitic Mythology,Adad m Semitic MythologyAkkadian cognate of Hadad.
6,Aditi,f,Hinduism,"Aditi f Hinduism, Indian, Hindi, Marathi, Bengali, KannadaMeans ""boundless, entire"" or ""freedom, security"" in Sanskrit. This is the name of an ancient Hindu goddess of the sky and fertility. According to the Vedas she is the mother of the gods."
7,Aditya,m,Hinduism,"Aditya m Hinduism, Indian, Hindi, Marathi, Malayalam, Kannada, Telugu, Tamil, Nepali, IndonesianMeans ""belonging to Aditi"" in Sanskrit. This is a name for the seven (or eight) Hindu gods who are the children of Aditi. It is also another name for the sun god Surya."
8,Adonis,m,Greek Mythology,"Adonis m Greek MythologyFrom Phoenician adon meaning ""lord"". In Greek myth Adonis was a handsome young shepherd killed while hunting a wild boar. The anemone flower is said to have sprung from his blood. Because he was loved by Aphrodite, Zeus allowed him to be restored to life for part of each year. The Greeks borrowed this character from Semitic traditions, originally Sumerian (see Dumuzi)."
9,Adrastea,f,Greek Mythology (Latinized),Adrastea f Greek Mythology (Latinized)Latinized form of Adrasteia. One of Jupiter's moons bears this name.
10,Adrasteia,f,Greek Mythology,Adrasteia f Greek MythologyFeminine form of Adrastos. In Greek mythology this name was borne by a nymph who fostered the infant Zeus. This was also another name of the goddess Nemesis.
11,Adrastos,m,Greek Mythology,"Adrastos m Greek MythologyMeans ""not inclined to run away"" in Greek. This was the name of a king of Argos in Greek legend."
12,Áed,m,Ancient Irish,"Áed m Ancient Irish, Irish MythologyOlder form of Aodh."
13,Áedán,m,Ancient Irish,"Áedán m Ancient Irish, Irish MythologyOlder form of Aodhán. This was the name of a 6th-century king of the Scots."
14,Aegle,f,Greek Mythology (Latinized),"Aegle f Greek Mythology (Latinized)Latinized form of the Greek Αἴγλη (Aigle), which meant ""light, radiance, glory"". This was the name of several characters in Greek myth, including one of the Heliades and one of the Hesperides."
15,Aella,f,Greek Mythology,"Aella f Greek MythologyMeans ""whirlwind"" in Greek. In Greek myth this was the name of an Amazon warrior killed by Herakles during his quest for Hippolyta's girdle."
16,Aeneas,m,Roman Mythology,"Aeneas m Roman MythologyLatin form of the Greek name Αἰνείας (Aineias), derived from Greek αἴνη (aine) meaning ""praise"". In Greek legend he was a son of Aphrodite and was one of the chief heroes who defended Troy from the Greeks. The Roman poet Virgil continued his story in the Aeneid, in which Aeneas travels to Italy and founds the Roman state."
17,Aeolus,m,Greek Mythology (Latinized),Aeolus m Greek Mythology (Latinized)Latinized form of Aiolos.
18,Aesculapius,m,Greek Mythology (Latinized),Aesculapius m Greek Mythology (Latinized)Latinized form of Asklepios.
19,Aeson,m,Greek Mythology (Latinized),"Aeson m Greek Mythology (Latinized)From the Greek Αἰσών (Aison), which is of unknown meaning. Aeson was the father of Jason in Greek mythology."
20,Afina,f,"Greek Mythology (Russified, Ukrainianized)","Afina f Greek Mythology (Russified, Ukrainianized)Russian and Ukrainian form of Athena."
21,Afrodita,f,"Greek Mythology (Hispanicized, Russified)","Afrodita f Greek Mythology (Hispanicized, Russified)Spanish and Russian form of Aphrodite."
22,Afrodite,f,"Greek Mythology (Italianized, Portuguese-style)","Afrodite f Greek Mythology (Italianized, Portuguese-style)Italian and Portuguese form of Aphrodite."
23,Agamemnon,m,Greek Mythology,"Agamemnon m Greek Mythology, GreekPossibly means ""very steadfast"" in Greek. In Greek mythology he was the brother of Menelaus. He led the Greek expedition to Troy to recover his brother's wife Helen. After the Trojan War Agamemnon was killed by his wife Clytemnestra."
24,Agaue,f,Greek Mythology,"Agaue f Greek MythologyMeans ""illustrious, noble"" in Greek. This was the mother of Pentheus in Greek myth."
25,Aglaea,f,Greek Mythology (Latinized),Aglaea f Greek Mythology (Latinized)Latinized form of Aglaia.
26,Aglaia,f,Greek Mythology,"Aglaia f Greek Mythology, GreekMeans ""splendour, beauty"" in Greek. In Greek mythology she was one of the three Graces or Χάριτες (Charites). This name was also borne by a 4th-century saint from Rome."
27,Agni 1,m,Hinduism,"Agni 1 m Hinduism, Indian, HindiMeans ""fire"" in Sanskrit. This is the name of the ancient Hindu fire god, usually depicted as red-skinned with three legs, seven arms, and two faces."
28,Agrona,f,Celtic Mythology (Hypothetical),"Agrona f Celtic Mythology (Hypothetical)Perhaps derived from an old Celtic element agro meaning ""battle, slaughter"". This is possibly the name of a Brythonic goddess for whom the River Ayr in Scotland was named."
29,Ahriman,m,Persian Mythology,Ahriman m Persian MythologyModern Persian form of Angra Mainyu.
30,Ahti,m,Finnish,"Ahti m Finnish, Estonian, Finnish MythologyMeaning unknown. This is the name of the Finnish god of the ocean, rivers and fishing."
31,Ahura Mazda,m,Persian Mythology,"Ahura Mazda m Persian MythologyMeans ""lord of wisdom"" in Avestan. In Persian mythology Ahura Mazda was the supreme creator, and the god of light, truth, and goodness."
32,Aias,m,Greek Mythology,Aias m Greek MythologyGreek form of Ajax.
33,Aigle,f,Greek Mythology,Aigle f Greek MythologyGreek form of Aegle.
34,Ailill,m,Irish,"Ailill m Irish, Irish MythologyMeans ""elf"" in Irish. This name occurs frequently in Irish legend, borne for example by the husband of Queen Medb."
35,Aineias,m,Greek Mythology,Aineias m Greek MythologyAncient Greek form of Aeneas.
36,Aino,f,Finnish,"Aino f Finnish, Estonian, Finnish MythologyMeans ""the only one"" in Finnish. In the Finnish epic the Kalevala this is the name of a girl who drowns herself when she finds out she must marry the old man Väinämöinen."
37,Aiolos,m,Greek Mythology,"Aiolos m Greek MythologyMeans ""quick-moving, nimble"" in Greek. This was the name of the Greek god of the winds."
38,Ajax,m,Greek Mythology (Latinized),"Ajax m Greek Mythology (Latinized)From the Greek name Αἴας (Aias), perhaps deriving from Greek αἰαστής (aiastes) meaning ""mourner"" or αἶα (aia) meaning ""earth, land"". In Greek mythology this was the name of two of the heroes who fought for the Greeks in the Trojan War, the son of Telamon and the son of Oileus. When the armour of the slain hero Achilles was not given to Ajax Telamonian, he became mad with jealousy and killed himself."
39,Akantha,f,Greek Mythology,Akantha f Greek MythologyGreek form of Acantha.
40,Alberic,m,Germanic Mythology,Alberic m Germanic MythologyVariant of Alberich.
41,Alberich,m,Ancient Germanic,"Alberich m Ancient Germanic, Germanic MythologyDerived from the Germanic elements alf ""elf"" and ric ""ruler, mighty"". Alberich was the name of the sorcerer king of the dwarfs in Germanic mythology. He also appears in the Nibelungenlied as a dwarf who guards the treasure of the Nibelungen."
